GaiaEDR3,specClass
583040058086202240,DA
583101802535393920,Unreli
583109499116951680,DB
583109499116951680,DB
583132932458590848,DA
583172892834435712,DA
583172892834435712,DA
583172892834435712,DA
583240237921265280,DA
583260647605943936,DA
583323422848040576,DB
583333696409464576,DA
583340568357541760,STAR
583399460948891648,DA
583455501682292992,DA
583456090093946240,DC
583456223236799232,DA
583482027400491136,DA
583593696549710080,DZ
583593696549710080,DZ
583604897824754688,DQ
583632007658595328,DA
583637677015440512,WD
583652730876035072,DA
583680076932129024,DA
583700933293351296,DA
583775322127158656,DC
583804012508568064,DA
583834420877132672,Unreli
583878985457436544,DA
583949251122623232,DA
583995091309178624,DA
584030962876005632,DA
584030962876005632,DA
584063737770574976,DA
584076382154410752,DA
584171356766917120,DB
584194373496664064,STAR
584202413674907264,DA
584202722912554240,DA
584291336678284288,DA
584319855260594560,MWD
584363182890620928,DA
584401463934612352,DA
584401493999361152,DA
584402318633098624,DQ
584402318633098624,DQ
584501485133013632,DA_MS
584506016322929792,DA
584512853910932736,STAR
584551817854723584,DC
584640775222204288,DA
584668056849158528,STAR
584688848786155392,DC
584707501829311488,DA
584707506125391488,DQ
584708498264899840,DC
584716401001115392,DZA
584781753223744512,DA
584855523581768064,DA
584863014004766336,DA
584921975315693952,DB
584968773279756032,DZ
584990046252700160,DA
585049862262240512,STAR
585062369206520960,DA
585113737015614720,DA
585113737015614720,DA
585130504568366464,DA
585130504568366464,DA
585233068387425280,DA
585263992151345280,DA
585263992151345280,DA
585269768882827136,DA
585327592027498112,DA_MS
585335116810252288,DA
585464171987046784,WD
585466542809026176,DA
585494545996081024,MWD
585578418117672064,DA
585589275795065984,DA
585638959976563968,DA
585660537892435328,DA
585666585206327680,DA
585669265265965440,DA
585669265265965440,DA
585672220203501824,DQ
585672220203501824,DQ
585672220203501824,DQ
585746368518389504,DA
585798217363923456,DA
585877867532382592,DA
585877867532382592,DA
585903912214046336,DA
585954554173586304,DA
586002245490053504,DA
586017157616528768,DA
586040384799889408,DA
586040384799889408,DA
586040384799889408,DA
586043309672965888,STAR
586070934902609280,DA
586070934902609280,DA
586073163990535424,DZ
586075122495366400,DC
586075122495366400,DC
586153634497760000,DA
586205792580210432,DA
586214313800037504,DA
586292933172097408,DZ
586292933172097408,DZ
586312032891775616,DA
586312032891775616,DA
586312032891775616,DA
586384050902907648,STAR
586410233023686400,DA
586410233023686400,DA
586517126170042112,DA
586582718909994496,DA
586608660512383744,DB
586662880179740672,DA
586807465958804736,DA
586988644859592960,DA
587036099953196928,DA
587062827534376064,DA
587062827534376064,DA
587211639561083136,DA
587211639561083136,DA
587214628858219136,STAR
587249847590724992,DA
587270330289001984,STAR
587274380443421056,DA
587303139544171008,DC
587333105531418112,DA
587333105531418112,DA
587358355644138880,STAR
587365571189045248,STAR
587409139337287680,DA
587409139337287680,DA
587431816764662528,DA
587431816764662528,DA
587484528898551552,STAR
587500639320567680,DB
587518441960356480,DA
587551904050090496,DA
587554309231779840,DB
587554309231779840,DB
587578670286348160,CV
587609868928675456,DA
587622861205266688,DBA
587622861205266688,DB
587640998851785088,DC
587640998851785088,DC
587644503545164928,DB
587644503545164928,DB
587657491526124160,DA
587746624983018624,DC
587746624983018624,DA
587767202170593536,DA
587787371337147520,DA
587789845238338688,STAR
587823689581300864,DA
587854922583291776,DC
587891618783378432,DA
